Year ,Q_cuc,P_cuc,P_tom,P_oni
1970,591.1,29.62,51.66766619,16.93038705
1971,590,33.24,61.02915349,17.03547594
1972,639.7,34.26,62.28694079,27.27157948
1973,598.2,37.27,63.8391254,30.20388621
1974,649.8,38.07,63.32820851,17.82707372
1975,628,35.18,62.64866495,31.32433247
1976,724.8,30.71,60.65224985,22.00628751
1977,815.7,29.9,61.58813681,20.21047596
1978,898.1,33.8,55.02639591,21.8150331
1979,912.1,37.91,58.03306595,18.00314668
1980,930.5,32.41,48.96742602,26.96756795
1981,978.3,32.85,46.24727163,31.76798565
1982,1026.8,25.85,45.79500122,16.77114711
1983,1119.2,27.52,47.3989345,24.48292071
1984,1154.4,25.43,48.39502439,20.03856479
1985,1103.7,23.36,44.345898,16.63887413
1986,1174.8,22.9,45.08712053,19.93892581
1987,1289.3,27.35,45.40195632,21.91214108
1988,1263.5,26.67,45.88631707,16.50891481
1989,1258,27.7,54.09456773,18.57464073
1990,1252.2,24.82,43.03372022,16.49102417
1991,1237,30,48.15799468,18.98974554
1992,1348.1,28.37,53.17489788,19.30932046
1993,1435.8,26.26,45.99535694,23.94080093
1994,1490.6,22.73,38.92487783,15.34265257
1995,1572.2,22.96,35.48171648,13.77525463
1996,1669.9,25.96,38.53353921,14.34759439
1997,1824.6,23.78,42.58177178,16.92524683
1998,1843,26.57,46.75690395,17.26817475
1999,1932.2,23.83,33.78289904,12.7536991
2000,1850.7,25.49,39.3196547,14.34462973
2001,1850.7,24.82,37.59869658,13.41020178
2002,1962.6,23.44,38.98731678,14.92868776
2003,1838.4,24.1,45.30203375,16.59459525
2004,1933.9,23.83,44.35008257,10.53314461
2005,1881.6,26.42,47.47143135,14.18423491
2006,1882.2,28.09,48.51997424,17.87577998
2007,1982.2,26.6,37.62731657,12.00181649
2008,1982.2,26.3,48.04581853,12.62130774
2009,2124.7,26.95,42.52452528,15.78880889
2010,2126.1,23.83,50.15034699,16.23123264
2011,2029.4,27.21,36.7924336,11.10907275
2012,2272,25,30.5,14.2
2013,2348.1,26.34,43.83076999,14.74129035
2014,2400.3,23.53,40.02700617,13.11728395
2015,2458,24.91,44.18402695,14.79162889
2016,2652.8,24.35,39.93014584,15.5755888
2017,2446.8,27.3,34.16581562,11.97660384
2018,2639,25.93,37.71668964,11.33313991
2019,2603.2,26.19,44.18117846,13.00494366
2020,2523.4,25.35,50.88386506,11.70857103
2021,2712.6,23.93,39.67470726,13.31190836
